iter	RMSE
0	0.6506956126
1	0.6266862577
2	0.6048826223
3	0.5840205336
4	0.5643488183
5	0.5454691481
6	0.5282096466
7	0.5118244059
8	0.4962714135
9	0.4815484638
10	0.4677060974
11	0.4548261204
12	0.4428651782
13	0.4317020217
14	0.4215040479
15	0.4114513231
16	0.4022516207
17	0.3937563359
18	0.3856186117
19	0.3781239251
20	0.3712445851
21	0.3648166403
22	0.358835112
23	0.3532770607
24	0.3481385597
25	0.343230093
26	0.3388135379
27	0.3346817154
28	0.3307233504
29	0.3270210007
30	0.3235973327
31	0.3204303001
32	0.3175203455
33	0.3147552578
34	0.312251194
35	0.3098613151
36	0.3075370032
37	0.3053820262
38	0.3034239594
39	0.3015836966
40	0.299890061
41	0.2983418228
42	0.2968925526
43	0.2954722702
44	0.2942039789
45	0.2929879107
46	0.2918291076
47	0.2907654667
48	0.2897259259
49	0.2887362163
50	0.28775397
51	0.2868863951
52	0.2860183478
53	0.2852781385
54	0.2845759926
55	0.2838471977
56	0.2832143617
57	0.2825904085
58	0.2819695264
59	0.2814432078
60	0.2808914322
61	0.2803847548
62	0.279908929
63	0.2794018027
64	0.2789371383
65	0.278360264
66	0.2779394807
67	0.2774963497
68	0.2771060776
69	0.2766738309
70	0.2762922981
71	0.2759564495
72	0.2755752323
73	0.2752434695
74	0.274918179
75	0.2745790799
76	0.2743352507
77	0.2740343381
78	0.2737551624
79	0.2733799097
80	0.2730583173
81	0.2727981416
82	0.2725677749
83	0.2722441604
84	0.271954327
85	0.2717261221
86	0.2714453868
87	0.2711971256
88	0.2709695457
89	0.2706698838
90	0.270443338
91	0.2702597174
92	0.2700394445
93	0.2697665055
94	0.2695673449
95	0.2693838002
96	0.2691425515
97	0.2689585758
98	0.2687485823
99	0.2684804351
100	0.2681828444
101	0.2680202619
102	0.2678122846
103	0.2675084301
104	0.2672563532
105	0.2670847587
106	0.2669189358
107	0.2667863164
108	0.2666347035
109	0.2664913923
110	0.2662916816
111	0.2661235945
112	0.2659294521
113	0.2657702352
114	0.2656398894
115	0.2654685638
116	0.2652904713
117	0.2650572485
118	0.2647841239
119	0.2646405905
120	0.2644612986
121	0.264314457
122	0.2641570047
123	0.2640096426
124	0.2638640654
125	0.2637252355
126	0.2636019955
127	0.2634849635
128	0.2632607844
129	0.2631147324
130	0.2629612414
131	0.2628209571
132	0.2627337885
133	0.2624998205
134	0.2623919476
135	0.2622060359
136	0.2620759999
137	0.2619789596
138	0.2618763533
139	0.26175128
140	0.2615599769
141	0.2614521061
142	0.2613088944
143	0.2611935874
144	0.2610826915
145	0.2609723868
146	0.2608898148
147	0.2607454411
148	0.2606937948
149	0.2605859139
150	0.2604736721
151	0.2603620007
152	0.2602522922
153	0.2600569954
154	0.2599376463
155	0.2598836743
156	0.2597054108
157	0.2596011833
158	0.2595068886
159	0.259442866
160	0.2593728916
161	0.2592049162
162	0.2590529012
163	0.2589964202
164	0.2589146233
165	0.2588352093
166	0.2586871701
167	0.2586101345
168	0.2584950583
169	0.2583817563
170	0.2583048929
171	0.2581963383
172	0.2581053197
173	0.2580431092
174	0.2579700345
175	0.2577785598
176	0.2576818393
177	0.2575934963
178	0.257541543
179	0.2574141743
180	0.2573162476
181	0.257250655
182	0.2571808439
183	0.2570868664
184	0.2569876381
185	0.2569137338
186	0.2567997986
187	0.2567118832
188	0.2566629532
189	0.2565629049
190	0.2564745643
191	0.2563377103
192	0.2561941689
193	0.2561363259
194	0.256077507
195	0.2559528834
196	0.2559035337
197	0.2558062081
198	0.2557019186
199	0.2556028397
200	0.2554216641
201	0.2553247658
202	0.2552309349
203	0.2551109741
204	0.2550436172
205	0.25496713
206	0.254915156
207	0.2548504465
208	0.2547683453
209	0.2547147734
210	0.2546722887
211	0.2545741972
212	0.2544668805
213	0.2543862916
214	0.2542835701
215	0.2541347747
216	0.2540362769
217	0.2539679586
218	0.253879015
219	0.2537990245
220	0.2536833416
221	0.2535886515
222	0.253508306
223	0.2534563615
224	0.2533809
225	0.2533261324
226	0.2531951612
227	0.2531154827
228	0.2530289538
229	0.2529581698
230	0.2528923477
231	0.2528494564
232	0.2527834524
233	0.2527811521
234	0.2527160866
235	0.2526459392
236	0.2525827241
237	0.2525018339
238	0.2524055
239	0.2523487208
240	0.2522822542
241	0.252171541
242	0.252122271
243	0.2520618238
244	0.251999728
245	0.2519355376
246	0.2518554297
247	0.2518191002
248	0.2517320758
249	0.2516556103
250	0.2515550208
251	0.2514851251
252	0.2513929468
253	0.2513264697
254	0.2513118744
255	0.2512540653
256	0.2511307569
257	0.2510855885
