iter	Passed	Remaining
0	43	43491
1	80	39954
2	120	40029
3	158	39474
4	197	39361
5	234	38822
6	276	39172
7	316	39297
8	361	39844
9	398	39452
10	436	39220
11	471	38844
12	508	38642
13	544	38319
14	578	37972
15	615	37841
16	650	37603
17	687	37487
18	724	37397
19	757	37139
20	793	36976
21	828	36837
22	866	36794
23	900	36627
24	936	36536
25	973	36456
26	1010	36414
27	1045	36282
28	1082	36232
29	1117	36135
30	1153	36061
31	1193	36111
32	1230	36058
33	1267	35999
34	1303	35941
35	1337	35827
36	1373	35736
37	1406	35614
38	1441	35519
39	1477	35465
40	1514	35417
41	1549	35342
42	1587	35319
43	1622	35250
44	1660	35232
45	1698	35228
46	1733	35152
47	1767	35062
48	1803	35010
49	1840	34961
50	1876	34909
51	1908	34788
52	1942	34711
53	1975	34616
54	2013	34590
55	2046	34496
56	2084	34485
57	2120	34440
58	2157	34409
59	2195	34393
60	2232	34368
61	2267	34305
62	2302	34247
63	2335	34163
64	2370	34103
65	2404	34027
66	2438	33951
67	2472	33890
68	2507	33839
69	2543	33794
70	2579	33756
71	2612	33670
72	2648	33637
73	2686	33612
74	2720	33547
75	2756	33516
76	2789	33441
77	2826	33409
78	2862	33367
79	2896	33314
80	2930	33247
81	2961	33159
82	2998	33127
83	3033	33080
84	3068	33029
85	3103	32987
86	3136	32918
87	3175	32912
88	3214	32899
89	3252	32889
90	3286	32830
91	3318	32750
92	3353	32707
93	3385	32634
94	3423	32610
95	3458	32567
96	3495	32542
97	3528	32474
98	3559	32394
99	3597	32378
100	3629	32309
101	3660	32225
102	3698	32206
103	3734	32170
104	3768	32121
105	3802	32072
106	3837	32028
107	3872	31982
108	3909	31961
109	3947	31934
110	3983	31907
111	4018	31859
112	4051	31803
113	4085	31751
114	4118	31691
115	4150	31626
116	4188	31613
117	4229	31615
118	4263	31565
119	4298	31525
120	4331	31463
121	4364	31408
122	4396	31349
123	4432	31316
124	4470	31296
125	4503	31240
126	4536	31185
127	4573	31157
128	4609	31125
129	4642	31066
130	4679	31042
131	4711	30982
132	4746	30940
133	4793	30981
134	4827	30929
135	4862	30890
136	4896	30842
137	4928	30785
138	4959	30717
139	4992	30666
140	5029	30637
141	5061	30582
142	5097	30549
143	5135	30527
144	5169	30484
145	5211	30484
146	5249	30458
147	5289	30452
148	5322	30401
149	5357	30358
150	5394	30331
151	5428	30283
152	5465	30255
153	5498	30204
154	5538	30193
155	5569	30131
156	5606	30101
157	5640	30056
158	5672	30003
159	5706	29961
160	5742	29923
161	5778	29893
162	5815	29864
163	5848	29815
164	5881	29763
165	5917	29729
166	5954	29699
167	5984	29637
168	6015	29581
169	6059	29583
170	6095	29549
171	6128	29503
172	6160	29447
173	6201	29439
174	6238	29410
175	6279	29401
176	6316	29371
177	6350	29328
178	6383	29278
179	6419	29246
180	6455	29208
181	6487	29158
182	6524	29129
183	6559	29090
184	6592	29044
185	6628	29008
186	6661	28962
187	6693	28909
188	6723	28852
189	6760	28821
190	6795	28782
191	6832	28752
192	6867	28715
193	6901	28674
194	6936	28636
195	6972	28602
196	7004	28550
197	7041	28520
198	7075	28481
199	7109	28437
200	7146	28409
201	7182	28373
202	7218	28340
203	7252	28299
204	7286	28257
205	7324	28230
206	7358	28191
207	7395	28159
208	7429	28116
209	7461	28069
210	7497	28036
211	7535	28008
212	7570	27970
213	7603	27927
214	7640	27897
215	7675	27857
216	7717	27846
217	7750	27804
218	7784	27761
219	7819	27722
220	7856	27692
221	7893	27663
222	7928	27625
223	7963	27588
224	7995	27539
225	8038	27529
226	8076	27503
227	8110	27460
228	8145	27424
229	8177	27376
230	8210	27332
231	8244	27291
232	8277	27247
233	8289	27135
234	8326	27105
235	8359	27061
236	8396	27032
237	8431	26994
238	8464	26951
239	8499	26916
240	8533	26876
241	8572	26851
242	8607	26814
243	8646	26790
244	8678	26745
245	8717	26718
246	8753	26685
247	8787	26645
248	8822	26609
249	8858	26575
250	8895	26544
251	8931	26512
252	8965	26471
253	8999	26431
254	9029	26379
255	9061	26336
256	9094	26292
257	9129	26255
258	9160	26208
259	9189	26155
260	9226	26125
261	9242	26035
262	9275	25992
263	9314	25968
264	9348	25929
265	9387	25904
266	9423	25869
267	9458	25834
268	9495	25804
269	9532	25773
270	9564	25729
271	9595	25682
272	9630	25646
273	9663	25605
274	9695	25561
275	9733	25532
276	9765	25488
277	9797	25445
278	9832	25410
279	9865	25368
280	9900	25333
281	9934	25293
282	9972	25265
283	10004	25223
284	10038	25185
285	10075	25152
286	10109	25114
287	10144	25078
288	10178	25042
289	10217	25014
290	10249	24972
291	10283	24935
292	10319	24899
293	10350	24856
294	10385	24818
295	10419	24780
296	10452	24740
297	10484	24698
298	10518	24660
299	10550	24618
300	10583	24576
301	10615	24534
302	10649	24496
303	10678	24447
304	10717	24422
305	10756	24395
306	10791	24359
307	10824	24320
308	10861	24288
309	10903	24268
310	10936	24228
311	10968	24186
312	11000	24144
313	11036	24112
314	11067	24066
315	11100	24028
316	11134	23989
317	11167	23950
318	11201	23913
319	11237	23879
320	11268	23836
321	11306	23806
322	11339	23767
323	11373	23730
324	11406	23690
325	11445	23663
326	11477	23622
327	11509	23580
328	11542	23541
329	11575	23501
330	11611	23468
331	11642	23425
332	11675	23386
333	11714	23358
334	11747	23320
335	11782	23284
336	11818	23251
337	11853	23215
338	11883	23171
339	11920	23139
340	11958	23109
341	11992	23072
342	12023	23030
343	12054	22987
344	12084	22943
345	12119	22908
346	12145	22855
347	12175	22811
348	12209	22774
349	12247	22745
350	12281	22709
351	12316	22673
352	12348	22633
353	12379	22590
354	12412	22552
355	12444	22511
356	12479	22477
357	12514	22442
358	12547	22403
359	12580	22364
360	12615	22330
361	12650	22295
362	12684	22258
363	12724	22232
364	12756	22193
365	12789	22154
366	12821	22113
367	12850	22069
368	12885	22034
369	12920	21999
370	12960	21973
371	12996	21940
372	13031	21904
373	13061	21862
374	13095	21825
375	13127	21786
376	13161	21749
377	13189	21702
378	13219	21660
379	13250	21619
380	13285	21584
381	13317	21544
382	13351	21508
383	13384	21471
384	13420	21437
385	13456	21405
386	13497	21380
387	13534	21348
388	13572	21317
389	13601	21273
390	13637	21241
391	13671	21204
392	13710	21176
393	13745	21141
394	13786	21116
395	13822	21082
396	13854	21043
